Experiment	bias spectroscopy	
4.86667E-3	729.356E-12	374.692E-3	-22.5823E-3	1.09058E+0	-10.6281E-9
4.85833E-3	731.998E-12	306.780E-3	-35.2405E-3	1.09059E+0	-10.6281E-9
4.85000E-3	733.098E-12	253.236E-3	-72.7295E-3	1.09059E+0	-10.6281E-9
4.84167E-3	734.712E-12	250.421E-3	-65.4087E-3	1.09058E+0	-10.6281E-9
4.83333E-3	734.774E-12	246.288E-3	-68.9485E-3	1.09058E+0	-10.6281E-9
4.82500E-3	733.943E-12	271.354E-3	-44.4436E-3	1.09058E+0	-10.6281E-9
4.81667E-3	733.409E-12	335.798E-3	2.13684E-3	1.09058E+0	-10.6281E-9
4.80833E-3	734.887E-12	363.769E-3	-5.77698E-3	1.09059E+0	-10.6281E-9
4.80000E-3	733.222E-12	338.359E-3	-24.4719E-3	1.09057E+0	-10.6281E-9
4.79167E-3	729.980E-12	308.138E-3	-1.81885E-3	1.09058E+0	-10.6281E-9
4.78333E-3	729.432E-12	323.435E-3	-14.4678E-3	1.09058E+0	-10.6281E-9
4.77500E-3	725.117E-12	322.709E-3	-29.6116E-3	1.09058E+0	-10.6281E-9
4.76667E-3	721.664E-12	343.415E-3	-6.57217E-3	1.09058E+0	-10.6281E-9
4.75833E-3	718.754E-12	359.539E-3	14.8865E-3	1.09059E+0	-10.6281E-9
4.75000E-3	717.918E-12	327.237E-3	-45.2117E-3	1.09059E+0	-10.6281E-9
4.74167E-3	713.747E-12	293.888E-3	-129.934E-3	1.09058E+0	-10.6281E-9
4.73333E-3	710.168E-12	311.175E-3	-107.418E-3	1.09060E+0	-10.6281E-9
4.72500E-3	710.609E-12	359.897E-3	-47.4417E-3	1.09059E+0	-10.6281E-9
4.71667E-3	706.358E-12	390.428E-3	-18.9115E-3	1.09059E+0	-10.6281E-9
4.70833E-3	706.290E-12	398.597E-3	5.79905E-3	1.09059E+0	-10.6281E-9
4.70000E-3	705.622E-12	410.110E-3	14.7374E-3	1.09058E+0	-10.6281E-9
4.69167E-3	702.582E-12	379.732E-3	-24.6164E-3	1.09058E+0	-10.6281E-9
4.68333E-3	702.198E-12	319.894E-3	-29.2507E-3	1.09059E+0	-10.6281E-9
4.67500E-3	701.524E-12	337.133E-3	-9.26809E-3	1.09058E+0	-10.6281E-9
4.66667E-3	700.397E-12	361.003E-3	-27.1494E-3	1.09057E+0	-10.6281E-9
4.65833E-3	701.207E-12	313.463E-3	-58.8918E-3	1.09057E+0	-10.6281E-9
4.65000E-3	703.481E-12	265.053E-3	-52.7379E-3	1.09058E+0	-10.6281E-9
4.64167E-3	702.466E-12	289.507E-3	-45.6984E-3	1.09058E+0	-10.6281E-9
4.63333E-3	701.355E-12	283.042E-3	-96.4441E-3	1.09058E+0	-10.6281E-9
4.62500E-3	699.184E-12	221.968E-3	-122.270E-3	1.09059E+0	-10.6281E-9
4.61667E-3	697.391E-12	257.942E-3	-85.7681E-3	1.09059E+0	-10.6281E-9
4.60833E-3	697.883E-12	366.612E-3	-84.8915E-3	1.09059E+0	-10.6281E-9
4.60000E-3	698.594E-12	372.561E-3	-72.3958E-3	1.09057E+0	-10.6281E-9
4.59167E-3	696.803E-12	304.516E-3	27.7997E-3	1.09058E+0	-10.6281E-9
4.58333E-3	693.518E-12	296.038E-3	87.5288E-3	1.09058E+0	-10.6281E-9
4.57500E-3	694.656E-12	315.575E-3	54.4409E-3	1.09058E+0	-10.6281E-9
4.56667E-3	693.488E-12	308.516E-3	21.5368E-3	1.09058E+0	-10.6281E-9
4.55833E-3	692.516E-12	295.628E-3	1.20382E-3	1.09058E+0	-10.6281E-9
4.55000E-3	690.309E-12	346.293E-3	-12.5828E-3	1.09058E+0	-10.6281E-9
4.54167E-3	690.741E-12	370.613E-3	-1.57074E-3	1.09059E+0	-10.6281E-9
4.53333E-3	688.539E-12	309.868E-3	23.6794E-3	1.09059E+0	-10.6281E-9
4.52500E-3	687.240E-12	301.727E-3	37.1036E-3	1.09058E+0	-10.6281E-9
4.51667E-3	684.057E-12	341.099E-3	12.5735E-3	1.09058E+0	-10.6281E-9
4.50833E-3	681.238E-12	343.184E-3	-37.2735E-3	1.09058E+0	-10.6281E-9
4.50000E-3	678.552E-12	345.239E-3	-52.1172E-3	1.09058E+0	-10.6281E-9
4.49167E-3	676.391E-12	334.679E-3	-37.5906E-3	1.09058E+0	-10.6281E-9
4.48333E-3	676.895E-12	275.106E-3	-16.0965E-3	1.09059E+0	-10.6281E-9
4.47500E-3	674.722E-12	261.087E-3	750.529E-6	1.09057E+0	-10.6281E-9
4.46667E-3	671.331E-12	319.685E-3	7.06604E-3	1.09057E+0	-10.6281E-9
4.45833E-3	672.218E-12	361.728E-3	8.93921E-3	1.09058E+0	-10.6281E-9
4.45000E-3	674.997E-12	309.465E-3	-41.7238E-3	1.09059E+0	-10.6281E-9
4.44167E-3	673.938E-12	264.707E-3	-75.2104E-3	1.09058E+0	-10.6281E-9
4.43333E-3	674.823E-12	297.216E-3	-44.1419E-3	1.09059E+0	-10.6281E-9
4.42500E-3	672.944E-12	310.372E-3	-24.2972E-3	1.09058E+0	-10.6281E-9
4.41667E-3	671.622E-12	278.500E-3	-37.5497E-3	1.09058E+0	-10.6281E-9
4.40833E-3	668.992E-12	249.032E-3	-57.6272E-3	1.09058E+0	-10.6281E-9
4.40000E-3	670.881E-12	260.542E-3	-67.3688E-3	1.09058E+0	-10.6281E-9
4.39167E-3	670.797E-12	278.835E-3	-49.5514E-3	1.09058E+0	-10.6281E-9
4.38333E-3	668.431E-12	303.470E-3	-8.70056E-3	1.09057E+0	-10.6281E-9
4.37500E-3	662.977E-12	345.112E-3	14.0112E-3	1.09057E+0	-10.6281E-9
4.36667E-3	662.081E-12	380.488E-3	-2.92806E-3	1.09057E+0	-10.6281E-9
4.35833E-3	661.004E-12	362.499E-3	14.7052E-3	1.09058E+0	-10.6281E-9
4.35000E-3	657.780E-12	311.617E-3	73.0613E-3	1.09058E+0	-10.6281E-9
4.34167E-3	654.477E-12	309.013E-3	44.0444E-3	1.09058E+0	-10.6281E-9
4.33333E-3	655.813E-12	318.518E-3	-36.3660E-3	1.09058E+0	-10.6281E-9
4.32500E-3	655.171E-12	245.685E-3	-56.9592E-3	1.09057E+0	-10.6281E-9
4.31667E-3	652.225E-12	217.387E-3	-11.6471E-3	1.09058E+0	-10.6281E-9
4.30833E-3	649.795E-12	270.126E-3	-27.8879E-3	1.09058E+0	-10.6281E-9
