Work Function data
-447.3,-454.6,-438.3,-472.4,-444.6,-465.7,-473.8,-471.4,-448.3,-450.1,-486.2,-470.8,
-448.1,-436.1,-436.5,-431.1,-454.1,-462.8,-456.8,-461.1,-450.5,-459.1,-469.9,-452.5,
-471.4,-466.5,-455.7,-445.8,-450.3,-467.7,-466.8,-451.0,-449.2,-464.2,-483.3,-451.9,
-486.4,-459.4,-450.8,-451.7,-456.7,-438.7,-473.5,-430.5,-448.9,-452.0,-459.4,-454.4,
-482.8,-483.5,-481.8,-472.2,-467.5,-447.2,-475.0,-480.2,-444.7,-447.0,-457.2,-459.2,
-491.8,-496.6,-505.8,-483.9,-475.4,-445.8,-466.6,-449.1,-453.1,-455.8,-448.1,-453.6,
-470.4,-489.8,-485.5,-496.8,-486.5,-472.2,-468.4,-454.1,-446.7,-427.8,-463.4,-483.6,
-482.6,-485.1,-473.9,-466.1,-474.2,-473.6,-464.9,-481.1,-451.9,-442.6,-462.1,-489.2,
-475.5,-479.0,-461.1,-472.2,-448.6,-457.2,-468.5,-468.9,-470.6,-454.2,-466.8,-469.3,
-461.7,-475.7,-487.3,-448.1,-436.9,-449.7,-469.5,-455.8,-467.8,-457.2,-462.8,-473.8,
-470.8,-474.2,-459.1,-462.0,-433.2,-483.4,-476.6,-470.6,-444.5,-459.0,-449.7,-458.2,
-467.7,-456.9,-448.0,-452.0,-442.8,-476.3,-456.7,-432.4,-460.3,-463.9,-470.2,-479.1,
Tracking data
0.0,0.0,1.6,3.2,6.4,7.9,9.5,12.7,14.3,17.5,20.6,20.6,
6.3,9.5,11.1,14.3,17.5,19.1,20.6,22.2,23.8,23.8,23.8,23.8,
6.3,6.3,7.9,9.5,12.7,14.3,15.9,19.1,20.6,23.8,25.4,27.0,
12.7,15.9,17.5,19.1,22.2,23.8,27.0,28.6,30.2,30.2,30.2,30.2,
12.7,12.7,12.7,15.9,17.5,20.6,22.2,25.4,27.0,30.2,30.2,31.7,
20.6,22.2,25.4,27.0,28.6,31.7,33.3,34.9,36.5,36.5,36.5,36.5,
20.6,20.6,20.6,22.2,23.8,27.0,28.6,31.7,33.3,34.9,38.1,39.7,
25.4,27.0,31.7,33.3,34.9,36.5,39.7,41.3,42.9,42.9,42.9,42.9,
25.4,25.4,27.0,30.2,31.7,34.9,36.5,38.1,39.7,42.9,44.4,46.0,
31.7,33.3,36.5,38.1,41.3,42.9,46.0,47.6,47.6,47.6,47.6,47.6,
31.7,31.7,33.3,34.9,36.5,39.7,41.3,44.4,46.0,47.6,50.8,52.4,
38.1,39.7,42.9,44.4,46.0,49.2,50.8,52.4,54.0,54.0,54.0,54.0,
Grad data
300.1,293.7,292.0,291.7,294.0,290.3,289.8,290.1,290.3,290.8,293.3,290.4,
308.3,310.5,306.0,309.3,310.5,308.5,308.8,304.4,307.0,300.7,295.6,294.3,
300.2,295.4,291.9,291.9,293.6,290.7,290.5,291.6,293.8,290.6,292.0,293.0,
306.2,310.1,306.6,306.0,309.6,307.4,309.6,308.5,307.2,300.7,297.5,292.2,
301.8,296.0,289.9,292.7,291.8,290.1,289.9,292.3,292.7,293.0,289.7,290.6,
309.3,309.2,309.7,307.4,306.9,310.0,308.5,306.0,307.0,301.0,296.1,291.7,
304.9,298.3,292.6,291.6,289.9,292.3,291.5,293.2,292.1,290.3,290.9,292.4,
308.6,306.5,310.4,310.1,308.3,306.1,309.9,307.0,308.5,301.7,298.0,292.1,
298.2,293.6,291.2,293.8,291.1,293.8,292.9,290.1,290.4,291.3,290.2,290.9,
308.9,307.4,308.8,308.2,308.9,306.9,308.5,309.9,304.9,299.2,293.9,289.6,
