--	pristine	30 min	60 min
337.3	581.901026479242	599.5	629.6
337.58	575.770081726055	607.39	642.41
337.87	579.048600849951	599.72	632.84
338.16	580.220326904217	601.01	636.67
338.44	576.522252370056	610.86	649.83
338.73	576.538796992482	607.67	645.93
339.02	579.73627983001	597.54	635.11
339.31	581.483690748611	594.94	634.42
339.59	577.553550179797	595.64	635.3
339.88	573.203971886237	607.77	648.3
340.17	577.209202353711	599.89	639.76
340.45	581.401719516182	595.78	633.55
340.74	579.286793069631	600.17	641.87
341.03	577.033141549526	608.24	653.62
341.31	582.31731938542	615.93	660.93
341.6	592.345956194835	605.74	646.93
341.89	596.291843739784	619.1	666.02
342.17	593.963121935273	634.47	683.67
342.46	592.78799607715	646.79	699.59
342.75	599.001252043151	641.03	693.34
343.03	612.791042824453	629.29	674.25
343.32	626.306793069631	615.67	654.09
343.6	632.200637463223	620.38	656.58
343.89	628.840787839163	618.71	655.74
344.18	622.396479241582	623.61	664.82
344.46	620.561624713959	622.95	664.49
344.75	619.204589735208	624.68	664.75
345.04	615.822134684537	631.58	671.68
345.32	612.460614579928	623.08	657.55
345.61	607.100117685518	622.02	656.65
345.9	597.797172278523	613.96	650.04
346.18	582.325102974829	621.55	660.77
346.47	567.600022883295	619.53	658.96
346.75	562.447057862047	612.31	652.81
347.04	562.149029094476	605.2	645.23
347.33	558.027571101667	611.82	656.86
347.61	554.392899640406	610.62	656.24
347.9	562.43087283426	612.66	656.83
348.19	580.043409610984	597.24	640.02
348.47	591.729960771494	590.84	634.8
348.76	593.020042497548	606.19	652.25
349.04	590.176109839817	610.78	659.86
349.33	585.207450147107	620.2	677.7
349.62	580.761811049363	613.41	671.79
349.9	577.303811703171	616.94	676.07
350.19	579.302703497875	627.88	685.84
350.47	589.451467799935	630.25	691.53
350.76	601.720137299771	631.24	695.21
351.05	607.53314808761	625.73	688.99
351.33	606.412729650213	641.2	715.34
351.62	606.117983000981	637.71	715.4
351.9	604.284733573063	646.45	729.19
352.19	597.876547891468	651.4	740.68
352.48	590.589826740765	657.69	755.18
352.76	583.832641386074	666.18	769.44
353.05	575.599843085976	671.91	785.6
353.33	570.549970578621	695.01	824.03
353.62	574.667773782282	705.88	851.07
353.91	579.034609349461	724.53	895.7
354.19	574.06203334423	767.11	972
354.48	575.212540045767	829.11	1072.6
354.76	594.435711016672	857.08	1140.8
355.05	624.953625367767	909.41	1260.6
355.33	666.856659038902	958.42	1363.6
355.62	716.298123569794	1030.1	1507.3
355.91	774.937044785878	1116.4	1672.3
356.19	853.218061457993	1206.3	1850.2
356.48	947.125436417131	1311.2	2045.9
356.76	1046.28460608042	1452	2295.9
357.05	1154.19515854855	1602.2	2576.3
357.33	1276.01453089245	1763.4	2872.4
357.62	1408.91964040536	1967.3	3240
357.9	1565.06357960118	2191.7	3643
358.19	1753.97918273946	2444.3	4086.8
358.48	1973.5402942138	2720.3	4581.2
358.76	2230.91533834587	3022.8	5110.5
359.05	2525.02688787186	3341.9	5656
359.33	2845.58236678653	3687.7	6270.7
359.62	3194.7751552795	4067.6	6913.6
359.9	3580.98522392939	4494.2	7611.3
360.19	4011.58672768879	4932.2	8276.1
360.47	4480.28273945734	5388.2	8935.3
360.76	4981.66842105264	5913.6	9592.5
361.04	5523.90709382151	6462.5	10228
361.33	6095.57554756457	7025.3	10854
361.61	6683.79470415169	7635.8	11462
361.9	7301.26570774764	8275.8	12029
362.18	7965.81284733573	8930.6	12579
362.47	8681.92987904545	9565.7	13114
362.76	9447.43743053286	10189	13615
363.04	10250.5793396535	10788	14078
363.33	11069.1036940177	11376	14512
363.61	11886.6102647924	11923	14888
363.9	12681.3429879046	12447	15213
364.18	13431.8151683557	12942	15508
364.47	14124.3343576332	13409	15730
364.75	14737.0417129781	13854	15941
365.04	15262.1549525989	14268	16094
365.32	15703.8695652174	14656	16197
365.61	16056.5697940503	15009	16252
365.89	16319.2196796339	15309	16254
366.18	16496.3484798954	15583	16254
366.46	16599.3484798954	15824	16254
366.75	16639.0418437398	16007	16254
367.03	16617.0202680615	16166	16254
367.32	16551.7829355999	16295	16254
367.6	16480.9862700229	16372	16254
367.89	16432.5155279503	16384	16254
368.17	16409.9254658385	16384	16254
368.46	16404	16384	16254
368.74	16404	16384	16254
369.02	16404	16384	16254
369.31	16404	16384	16254
369.59	16404	16384	16254
369.88	16404	16384	16254
370.16	16404	16384	16254
370.45	16404	16384	16254
370.73	16404	16384	16254
371.02	16404	16384	16254
371.3	16404	16384	16254
371.59	16404	16384	16254
371.87	16420.3229813665	16384	16254
372.16	16471.4596273292	16358	16254
372.44	16538.6253677673	16295	16254
372.72	16594.5272965021	16200	16254
373.01	16620.5982347172	16056	16254
373.29	16592.4481856816	15882	16254
373.58	16495.9820202681	15686	16254
373.86	16327.8525661981	15465	16254
374.15	16086.60542661	15211	16254
374.43	15770.9329846355	14940	16253
374.72	15379.5843085976	14637	16198
375	14914.3339653482	14313	16115
375.28	14385.2967636483	13981	16031
375.57	13810.2351748938	13619	15889
375.85	13207.5588754495	13253	15744
376.14	12590.9555410265	12850	15561
376.42	11967.7142203334	12432	15355
376.71	11353.7038901602	11991	15119
376.99	10774.5590062112	11544	14852
377.27	10248.2788492972	11077	14569
377.56	9784.21631252044	10597	14234
377.84	9380.02706766917	10110	13900
378.13	9009.76024844721	9614.5	13511
378.41	8652.50604772802	9149.4	13119
378.69	8303.1888525662	8692	12691
378.98	7954.89630598235	8273.7	12234
379.26	7609.12226217718	7875.2	11762
379.55	7264.35593331154	7478.6	11267
379.83	6912.69418110494	7094.6	10761
380.11	6556.03814972214	6733.5	10229
380.4	6197.0179143511	6375.6	9676.7
380.68	5835.66815952926	6042.4	9165.9
380.97	5479.58283752861	5715	8657
381.25	5133.19888852566	5396.5	8145.4
381.53	4799.11072245832	5104.3	7702.3
381.82	4480.73213468454	4803	7212.6
382.1	4175.40281137627	4533.5	6779.5
382.39	3888.24991827395	4270.6	6346.3
382.67	3622.50071918928	4031.1	5953.9
382.95	3373.37159202354	3790.2	5571.4
383.24	3138.55746976136	3564	5208.6
383.52	2927.82736188297	3352.3	4882.3
383.8	2744.35109512913	3142.4	4552.4
384.09	2580.93337692056	2971.9	4282.7
384.37	2439.37450147107	2793.2	3990.7
384.66	2311.41804511278	2636.7	3742.9
384.94	2192.01990846682	2491.6	3521.4
385.22	2086.18986596927	2352.5	3311.4
385.51	1991.57718208565	2224.2	3110.2
385.79	1908.62523700556	2114.7	2928.8
386.07	1835.38185681595	2010.4	2757.1
386.36	1764.43609022557	1912.6	2612.4
386.64	1692.93422687153	1826.3	2469.5
386.92	1621.51379535796	1744.3	2355.4
387.21	1555.59725400458	1666.9	2235.4
387.49	1495.53733246159	1592.6	2119.1
387.77	1436.50490356326	1535.2	2042
388.06	1377.26721150703	1472.2	1947.3
388.34	1319.99297155933	1428.3	1875
388.62	1271.22054593004	1373.1	1791.7
388.91	1226.87425956195	1328.6	1719.7
389.19	1185.45997057862	1293.2	1660.7
389.47	1153.51653808434	1244.5	1597.5
389.76	1125.63450474011	1206.7	1538
390.04	1095.03807126512	1164	1480.3
390.32	1062.25268715266	1134.6	1435.3
390.61	1036.47173586139	1108.9	1389.8
390.89	1021.14214776071	1069.8	1330
391.17	1000.15309905198	1040.1	1285.3
391.46	973.307172278523	1037.3	1269.3
391.74	953.808329519451	1011.4	1233.5
392.02	939.048081072246	999.1	1211.1
392.31	927.00114416476	980.67	1181.9
392.59	918.423347499183	959.88	1157.7
392.87	908.364190912063	941.53	1127
393.15	894.300130761687	928.15	1111.5
393.44	880.917244197451	913.36	1090.4
393.72	871.204900294214	896.12	1065.1
394	866.988862373325	882.06	1044.1
394.29	865.162265446225	848.31	1003.2
394.57	853.270035959464	833.66	980.3
394.85	835.404445897353	821.8	961.6
395.14	821.62612945407	803.05	932.9
395.42	805.367172278523	796.51	923.8
395.7	791.885201046094	793.18	921.2
395.98	787.711726054266	771.36	885.8
396.27	782.456247139588	760.74	872.3
396.55	768.846080418438	738.28	843.94
396.83	746.851742399477	737.81	840.07
397.12	725.662651193201	719.81	815.38
397.4	709.085789473684	700.53	793.46
397.68	694.488966982674	695.27	782.16
397.96	685.751150702844	686.48	773.86
398.25	680.299934619157	679.32	760.47
398.53	672.25412553122	674.7	752.44
398.81	665.250356325597	673.91	749.11
399.09	661.620117685518	661.26	731.25
399.38	659.416557698594	658.56	723.55
399.66	657.437587446878	647.37	706.79
399.94	651.370189604446	646.35	705.91
400.22	640.542265446225	646.42	703.87
400.51	631.092376593658	642.23	699.96
400.79	626.96216737496	629.49	687.82
401.07	626.31823798627	622.85	679.87
401.35	629.675142203335	604.3	652.31
401.64	627.318898332789	589.34	634.59
401.92	611.850954560314	597.9	648.5
402.2	595.118679306963	594.92	648.5
402.48	582.516077149396	598.04	651.67
402.77	570.641389342923	592.74	646.49
403.05	555.433360575352	590.55	642.29
403.33	542.170098071265	588.93	642.99
403.61	538.226668846028	577.86	629.34
403.89	536.510487087284	569.52	618.01
404.18	534.306629617522	571.82	621.5
404.46	537.349215429879	562.01	614.4
404.74	539.751108205296	554	601.39
405.02	539.252536776725	557	604.13
405.31	542.752079110821	545.1	592.5
405.59	547.825805818895	545.18	590.71
405.87	547.796005230468	537.28	577.56
406.15	543.190895717555	547.77	591.18
406.43	541.706832298137	547.82	590.83
406.72	543.345488721805	551.25	592.12
407	540.359601176855	552.1	595.48
407.28	533.474338018961	564.54	612.55
407.56	532.362948676038	566.23	613.76
407.84	536.810624387055	558.45	604.61
408.13	541.045531219353	568.28	615.96
408.41	545.101212814646	565.15	606.85
408.69	544.497528604119	574.8	620.14
408.97	544.025818895064	580.2	625.68
409.25	548.80498528931	574.87	617.78
409.53	552.733556717882	581.88	626.21
409.82	561.641729323308	585.84	634.34
410.1	571.067034978752	573.13	616.78
410.38	568.579624060151	595.91	644.21
410.66	567.410408630272	605.51	656.71
410.94	576.599068322982	603.66	656.54
411.23	582.971634521086	602.64	653.56
411.51	582.05370382478	619.29	676.69
411.79	584.869915004904	624.71	685.84
412.07	592.856694998366	626.91	686.34
412.35	600.866276560968	629.07	689.57
412.63	606.423494606081	624.91	683.39
412.91	610.529898659693	630.3	688.16
413.2	604.816891140896	619.88	672.3
413.48	589.732468126839	655.16	724.63
413.76	592.262579274273	652.56	719.2
414.04	605.794733573063	640.3	704.55
414.32	610.253468453743	643.56	710.98
414.6	610.084841451455	635.97	702.67
414.89	605.184243216738	640.31	706.42
415.17	599.414060150376	652	721.5
415.45	600.75757437071	645.85	710.74
415.73	598.139493298464	637.77	701.65
416.01	590.267904543969	649.89	718.95
416.29	592.978767571102	635.73	696.47
416.57	599.756446551161	629.82	690.21
416.85	598.432428898333	631.01	691.39
417.14	593.70764955868	634.93	699.04
417.42	590.266152337365	623.7	683.98
417.7	588.547623406342	628.39	689.58
417.98	587.169630598235	612.45	665.92
418.26	579.1321085322	615.79	671.39
418.54	565.449967309579	615.48	668.68
418.82	549.339290617849	613.52	668.22
419.1	542.687247466493	614.65	669.65
419.38	553.770183066362	579.15	616.56
419.67	556.948084341288	578.89	613.18
419.95	546.044684537431	583.18	619.19
420.23	534.775080091533	581.52	617.6
420.51	523.467332461589	585.66	622.59
420.79	519.020699575025	584.53	621.65
421.07	519.433452108532	570.85	603.64
421.35	514.818542007192	583.85	623.32
421.63	515.495423340961	591.32	631.15
421.91	525.711601830664	581.49	617.16
422.19	531.290277868585	581.66	618.6
422.47	532.911797973194	592.14	632.59
422.76	539.370608041844	588.99	625.57
423.04	548.376976135992	591.08	627.73
423.32	557.48689767898	587.97	623.78
423.6	564.148241255312	588.7	625.14
423.88	570.141229159856	598.11	636.09
424.16	581.463301732593	588.39	621.52
424.44	590.622732919255	583.57	614.95
424.72	590.781709709056	583.66	613.78
425	587.691830663616	586.27	617.19
425.28	579.719444262831	583.51	614.39
425.56	566.404239947696	601.01	638.51
425.84	556.781474338019	599.09	635.15
426.12	551.729813664597	602.93	639.07
426.4	547.890470742073	597.15	630.86
426.68	543.316394246486	597.2	630.1
426.97	535.405469107552	594.18	623.09
427.25	529.537803203662	603.52	636.26
427.53	532.298813337692	604.19	637.41
427.81	537.664684537431	606.28	639.65
428.09	547.854854527624	610.5	643.12
428.37	564.738358940831	589.87	614.98
428.65	572.476593658058	590.51	613.7
428.93	569.488711997385	590.85	615.04
429.21	570.247388035306	595.01	620.46
429.49	576.017662634848	583.04	604.96
429.77	579.942736188297	592.75	621.91
430.05	579.99935272965	588.4	618.71
430.33	574.764243216738	595.46	629.97
430.61	567.386145799281	592.33	625.28
430.89	555.828711997385	593.49	627.13
431.17	541.136675384113	604.62	640.01
431.45	536.558695652174	603.19	639.47
431.73	539.430395554103	597.38	631.52
432.01	539.471104936254	598.31	634.83
432.29	536.288947368421	592.79	627.63
432.57	528.983926119647	594.23	630.75
432.85	526.366080418437	597.78	639.1
433.13	534.060114416476	579.23	612.84
433.41	537.438175874469	591.38	629.43
433.69	537.285655442955	604.69	650.28
433.97	546.137126511932	620.1	671.98
434.25	559.732030075188	624.22	678.98
434.53	569.781288002616	629.54	687.76
434.81	582.158179143511	637.34	697.25
435.09	601.283821510298	636.94	696.17
435.37	623.754825106244	640.15	698.95
435.65	646.491039555411	628.51	682.87
435.93	660.44526969598	627.9	677.88
436.21	659.273801896045	623.17	673.36
436.49	648.251601830664	628.99	685.19
436.77	640.971134357633	630.11	686.13
437.05	640.853030402092	617.13	668.91
437.33	638.053262504086	614.82	667.15
437.61	629.142984635502	610.9	664.47
437.89	609.000251716248	609.22	662.72
438.17	580.722569467146	629.56	688.48
438.45	560.537862046421	625.34	684.41
438.73	542.160617848971	619.99	676.76
439	522.23772474665	628.42	689.55
439.28	515.696171951618	614.34	671.85
439.56	524.037155933312	605.31	656.51
439.84	536.770745341615	587.85	633.43
440.12	544.804269369075	590.98	635.82
440.4	553.507554756457	580.31	622.52
440.68	565.826691729324	567.55	606.06
440.96	574.227103628637	570.4	611.82
441.24	577.30850931677	572.18	613.39
441.52	575.130516508663	580.96	624.16
441.8	565.285047401112	590.98	639.2
442.08	556.872517162472	610.99	663.85
442.36	560.814759725401	607.97	657.71
442.64	568.560392285061	609.64	659.35
442.92	571.564762994443	608.74	660.42
443.19	570.211853546911	612.72	663.09
443.47	569.679777705133	620.62	671.22
443.75	576.119297155934	609.48	655.31
444.03	583.015688133377	596.24	637.98
444.31	577.663530565545	600.48	643.93
444.59	568.790339980386	614.27	663.69
444.87	573.234151683557	603.3	650.78
445.15	582.655694671461	600.09	645.56
445.43	587.1776201373	598.7	645.51
445.71	588.126479241582	607.06	657.09
445.99	585.280980712651	609.93	664.87
446.26	580.300833605754	617.2	673.87
446.54	575.305541026479	616.73	675.5
446.82	571.037950310559	620.06	679.8
447.1	568.536923831318	617.67	678.56
447.38	568.099166394247	616.9	679.5
447.66	572.88873488068	611.03	673.22
447.94	582.935197777051	592.48	649.73
448.22	586.25566198104	587.66	641.27
448.49	579.111954887218	593.65	650.83
448.77	574.525766590389	596.33	654.54
449.05	575.850863027133	586.47	644.2
449.33	568.194439359268	595.26	657.54
449.61	552.887610330174	612.15	684.29
449.89	542.523707093822	610.86	683.48
450.17	539.651928734881	617.58	694.85
450.45	548.385086629618	608.23	680.45
450.72	559.5012945407	599.98	666.18
451	563.815828702191	605.87	672.99
451.28	568.863344230141	592.38	658.87
451.56	572.478185681596	582.15	644.49
451.84	568.510879372344	585.15	647.06
452.12	562.374697613599	590.46	655.8
452.4	561.35746976136	589.31	653.45
452.67	563.705184700883	585.09	647.01
452.95	565.204089571756	584.23	650.06
453.23	567.651712978098	583.59	649.73
453.51	567.847943772475	578.07	641.14
453.79	559.116273291926	582.2	648.45
454.07	545.345992154299	582.46	652.83
454.34	536.226567505721	582.15	654.2
454.62	527.91953252697	575.89	643.87
454.9	516.880696305983	587.74	660.69
455.18	514.805289310232	583.34	653.23
455.46	522.964615887545	579.4	649.01
455.73	535.084145145473	572.85	638.68
456.01	548.870019614253	564.26	628.84
456.29	559.281382804839	563.47	630.74
456.57	563.975442955214	564.32	635.8
456.85	564.666191565871	562.49	634.58
457.13	559.924707420726	574.25	642.16
457.4	552.823148087611	585.9	659.97
457.68	555.75245505067	582.06	660.75
457.96	566.773759398497	573.94	647.57
458.24	567.562654462243	569.4	641.99
458.52	560.934083033671	590.85	674.45
458.79	565.270934946061	586.69	667.79
459.07	575.250287675711	588.59	667
459.35	578.885184700883	589.11	669.32
459.63	575.065724092841	588.36	667.67
459.9	570.063184047074	591.67	671.27
460.18	567.232481203008	586.8	663.61
460.46	563.893890160183	591.67	670.09
460.74	563.953569794051	581.6	653.61
461.02	562.757963386728	576.94	648.19
461.29	557.319816933639	587.48	661.87
461.57	555.81060150376	587.27	664.98
461.85	555.71325269696	583.55	655.15
462.13	548.85968290291	586.48	657.81
462.4	538.823582870219	596.9	672.14
462.68	535.316874795685	601.24	677.06
462.96	538.602370055574	588.97	671.43
463.24	545.578917947042	584.28	662.44
463.51	546.781797973194	573.4	645.93
463.79	536.500882641386	588.76	665.3
464.07	529.511719516182	589.21	666.33
464.35	533.828747956849	585.25	658.39
464.62	544.691203007519	590.09	664.98
464.9	553.888309905198	583.66	660.22
465.18	557.001363190585	596.92	679.52
465.46	558.934805491991	593.13	674.02
465.73	560.908950637463	594.84	677.2
466.01	561.154298790455	591.79	675.24
466.29	560.54429225237	590.56	673.5
466.57	558.718159529258	587.23	670.61
466.84	557.193965348153	582.2	663.31
467.12	555.42397515528	572.6	649.1
467.4	547.797567832625	577.83	652.91
467.67	537.098777378228	575.46	650.99
467.95	529.113063092514	576.5	652.3
468.23	522.822422360249	580.44	658.53
468.51	516.475576985943	588.62	668.63
468.78	511.654259561949	596.25	679.09
469.06	505.807034978752	599.06	684.32
469.34	502.053046747303	617.59	705.62
469.61	507.796185027787	607.2	694.82
469.89	522.822147760706	607.83	694.92
470.17	542.6728604119	585.65	665.03
470.44	559.459391958157	595.58	680.91
470.72	572.923220006538	589.94	672.93
471	582.229045439686	590.99	672.35
471.28	588.694560313828	598.05	680.32
471.55	594.827211507029	590.15	670.52
471.83	598.463229813665	600.54	681.6
472.11	598.860127492645	605.37	688.99
472.38	589.795322000654	616.07	704.1
472.66	575.693514220334	617.46	706.82
472.94	566.551801242236	617.25	708.01
473.21	554.896727688787	611.74	700.74
473.49	537.668558352403	624.96	723.6
473.77	525.190650539392	614.7	706.46
474.04	520.939287348807	608.85	699.94
474.32	519.654707420726	596.83	687.17
474.6	516.153269042171	600.03	689.37
474.87	515.678401438379	598.87	688.88
475.15	522.552543314809	600.12	692.94
475.43	532.41091860085	602.44	697.15
475.7	537.804903563256	606.43	704.86
475.98	543.27478914678	623.3	725.51
476.25	558.004916639425	620.03	715.62
476.53	574.412847335731	628.33	725.56
476.81	589.383200392285	620.54	717.1
477.08	600.508751225891	616.5	712.7
477.36	605.110830336712	622.17	716.94
477.64	607.427747629945	621.03	717.49
477.91	608.403072899641	609.46	702.43
478.19	609.361474338019	600.47	694.13
478.47	605.641480876103	599.36	691.99
478.74	594.275949656751	609.58	709.05
479.02	583.192356979405	614.86	716.69
479.29	571.4912945407	620.38	719.66
479.57	559.31045112782	645.75	749.82
479.85	555.35888525662	648.81	749.55
480.12	558.265426610004	650.34	750.4
480.4	564.841784897025	644.24	741.9
480.67	574.551000326905	639.65	732.02
480.95	582.988891794704	626.91	712.11
481.23	580.621451454724	619.18	703.35
481.5	573.380081726055	634.61	722.63
481.78	579.604962406015	629.9	715.25
482.05	593.817155933312	625.04	710.27
482.33	604.508506047728	625.1	710.31
482.61	608.941971232429	623.3	705.32
482.88	605.620921869892	623.35	713.27
483.16	597.939751552795	621.79	712.4
483.43	589.48149068323	626.05	722.46
483.71	581.09600849951	627.86	724.46
483.99	568.514717227853	629.4	725.06
484.26	556.383141549526	635.14	731.29
484.54	552.56153644982	626.56	716.42
484.81	547.965181431841	620.18	707.19
485.09	546.408254331481	622.64	712.41
485.36	556.588924485126	601.91	690.34
485.64	559.624527623407	601.64	690.29
485.92	554.347061131089	635.73	728.97
486.19	556.209329846355	635.97	727.9
486.47	558.006044458974	646.9	747.25
486.74	558.885220660347	661.49	769.27
487.02	569.493697286695	667.29	771.49
487.29	593.989725400458	661.77	760.32
487.57	624.647224583197	650	746.89
487.84	647.176433474992	649.35	743.42
488.12	659.764197450147	648.32	743.53
488.4	664.916135992154	646.95	737.63
488.67	661.942255639098	646.42	731.37
488.95	657.910761686826	646.07	728.51
489.22	653.700657077477	637.56	714.49
489.5	640.091703170971	648.15	724.06
489.77	622.113644982021	653.54	730.56
490.05	607.487960117686	656.31	730.94
490.32	592.33397515528	656.85	733.1
490.6	577.901104936254	658.63	733.85
490.87	567.696227525335	645.82	715.41
491.15	554.536861719517	641.45	708.1
491.42	544.406116377901	633.9	697
